################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
668328 17471 434 1527.96 2145 4155 6535 9703
654042 18847 417 1551.06 2237 4223 6875 10527
662829 15559 446 1533.57 2161 3887 6559 10095
659221 19711 439 1543.43 2191 4259 6511 10815
659154 19311 466 1551.35 2187 4119 6559 11743
662161 18959 432 1541.69 2165 4087 6663 10719
658113 15999 439 1550.89 2195 3993 6347 10783
662041 16911 426 1538.16 2177 4015 6503 10847
648946 24447 440 1559.63 2239 4251 6671 10943
660725 22063 451 1536.51 2173 4057 6515 10327
664361 28671 427 1536.16 2155 4005 6667 10023
654996 14463 443 1554.43 2209 4045 6639 9511
660501 14615 408 1543.8 2165 3913 6339 9871
662245 18911 378 1539.28 2175 4045 6631 10103
651759 15463 444 1554.65 2229 4235 6803 10967
656873 14263 467 1552.78 2223 4151 6571 9503
657994 29679 448 1545.08 2191 4203 6395 9831
647918 18751 434 1573.44 2245 4085 6503 9543
650369 18671 422 1563.18 2261 4291 6875 10223
652824 15063 452 1554.17 2201 4127 6619 9231
654191 18831 445 1541.3 2193 4167 6879 11167
658503 19327 433 1531.04 2171 4099 6447 8855
654996 14663 438 1539.24 2177 4171 6371 9519
650616 16447 446 1554.74 2211 4263 6507 10487
656399 14383 442 1536.78 2181 4039 6247 9655
652185 14567 423 1549.92 2209 4279 6547 10023
647392 15591 429 1548.88 2217 4263 6591 9831
658061 22607 438 1540.24 2189 4107 6527 9407
659692 15127 442 1522.78 2145 3883 6351 9255
646713 12655 449 1562.12 2225 4207 6643 9367
659390 36863 380 1533.9 2161 3981 6483 10295
647361 21263 414 1550.93 2207 4085 6567 11055
641695 17359 403 1559.76 2217 4073 6459 9087
650069 16527 418 1546.76 2193 4139 6655 9703
645233 14679 439 1557.43 2209 4291 6615 9647
651715 15679 448 1534.58 2165 4103 6527 9535
638311 15439 443 1560.9 2229 4431 6827 10495
645881 12191 441 1546.14 2211 4175 6579 9079
639265 21103 431 1564.37 2235 4215 6587 9455
643567 13447 418 1550.58 2221 4099 6439 10439
638933 32415 446 1555.48 2225 4279 6527 9223
639369 23199 435 1551.81 2229 4203 6439 9743
648557 14439 444 1538.19 2191 4247 6563 9591
639970 18591 416 1546.03 2199 4299 6703 11295
637138 17999 458 1543.78 2197 4383 7083 10535
646799 34783 442 1541.28 2155 4057 6559 10479
643021 15095 443 1552.76 2193 4089 6351 9559
633658 12551 421 1563.4 2229 4203 6559 9215
640643 16415 441 1551.64 2177 3999 6431 8967
