################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
1643542 43199 199 422.74 516 747 2729 7547
1949056 7755 202 417.48 515 717 1833 4139
1926833 5295 200 422.06 516 758 3245 4001
1920693 5323 193 422.14 515 766 3309 3993
1919618 8083 198 424.81 517 767 3395 4163
1916839 4923 194 423.66 517 772 3359 3987
1926892 5567 197 423.59 515 764 3409 4115
1931880 8215 195 422.92 515 759 3349 4013
1931413 4643 195 424.07 517 756 3347 3999
1929653 6527 196 424.44 518 757 3357 4067
1933597 7067 192 423.81 517 755 3335 4019
1928854 5483 198 424.51 518 760 3393 4143
1927404 6079 192 424.72 518 761 3387 4039
1933373 5027 199 424.32 518 758 3365 4067
1930095 5499 185 424.68 518 765 3413 4115
1933645 4603 197 424.2 518 763 3337 3985
1932839 5079 200 424.58 517 764 3387 4049
1934282 6035 197 424.67 518 762 3465 4263
1930460 4591 200 425.04 518 767 3397 4041
1934330 4851 189 424.1 518 763 3393 4111
1935678 4887 200 424.31 518 757 3373 4073
1931514 11255 195 424.24 518 764 3405 4087
1933834 5151 200 424.42 518 758 3391 4087
1926653 4811 193 424.98 519 766 3427 4099
1933861 4791 198 423.93 517 762 3375 4089
1940035 5283 193 424.54 518 755 3383 4053
1934657 5431 197 425.81 519 761 3487 4191
1918446 4835 192 424.83 519 806 3431 4131
1939059 5175 196 424.99 520 760 3383 4093
1937427 4755 199 425.05 519 761 3413 4147
1941002 5455 198 424.98 519 759 3481 4287
1936886 7747 194 424.73 519 760 3447 4175
1939103 4699 199 425.21 519 759 3417 4115
1937595 5499 192 424.88 519 765 3417 4099
1938979 5175 194 425.24 519 759 3419 4119
1937671 5343 193 425.51 519 763 3495 4247
1939234 5371 183 424.77 519 768 3461 4155
1938487 12527 195 425.27 519 765 3459 4195
1937493 4771 203 424.93 519 762 3409 4119
1937838 5427 193 425.61 521 769 3449 4223
1935796 5351 202 425.25 520 767 3415 4163
1933139 6703 194 425.54 521 765 3411 4163
1929573 5991 203 425.19 520 767 3427 4163
1935635 10287 200 426.38 521 767 3473 4203
1936252 4735 198 425.78 520 762 3415 4099
1936809 5315 196 425.52 520 764 3439 4179
1938048 5599 195 425.37 520 764 3415 4183
1937751 5075 201 425.89 521 765 3499 4239
1942019 5915 197 424.43 520 762 3431 4167
1937020 12103 201 425.52 520 769 3439 4191
1936292 4823 200 425.8 520 766 3467 4163
1939924 5835 200 425.14 521 770 3405 4139
1937789 5527 199 425.7 521 772 3433 4147
1938782 5643 201 425.4 521 769 3449 4167
1938624 5515 196 425.66 521 766 3471 4187
1940343 4927 195 425.32 520 768 3467 4179
1936649 5927 201 426.06 521 765 3483 4275
1937055 5667 198 425.75 521 765 3503 4311
1936842 5267 189 425.95 522 769 3453 4195
1940060 4887 201 425.78 521 766 3425 4143
1931821 5479 199 425.33 521 768 3459 4167
1943951 5599 191 425.67 521 762 3459 4247
1939575 5223 195 425.86 522 764 3429 4171
1939778 5087 201 424.47 519 765 3439 4167
1938390 8495 200 426.26 521 763 3531 4435
1940765 4947 192 425.44 521 765 3465 4191
1938556 14935 196 426.22 522 770 3483 4227
1939482 5147 194 426.22 522 766 3503 4271
1938307 5411 199 426.11 522 770 3521 4287
1938804 5703 199 425.67 521 768 3503 4279
1937724 8431 196 426.57 522 769 3465 4183
1939932 5511 197 426.29 522 770 3497 4315
1939910 5187 196 425.96 521 765 3499 4179
1933994 7835 184 426.75 522 771 3469 4171
1937277 4995 198 426.4 521 769 3479 4203
1937271 5063 194 425.23 521 767 3483 4227
1937524 6327 196 425.17 520 766 3453 4279
1938069 5591 203 425.67 520 767 3517 4343
1935402 5779 197 425.16 521 767 3449 4199
1940366 5267 198 425.95 522 768 3497 4223
1940659 5443 198 425.77 521 761 3507 4259
1938015 4867 195 425.73 521 766 3453 4227
1940880 5223 198 426.31 522 766 3521 4255
1940079 5243 200 426.05 521 762 3497 4255
1941035 6311 191 426.08 521 765 3573 4515
1943543 5323 202 425.7 520 763 3485 4219
1939643 6483 198 426.05 521 774 3535 4275
1937354 5375 193 425.6 521 769 3449 4171
1944218 5715 197 425.14 520 762 3553 4347
1942992 5011 195 426.16 521 761 3469 4199
1943080 5463 193 426.12 522 763 3497 4267
1943513 5555 194 426.45 522 758 3505 4319
1931434 5527 196 427.24 523 770 3577 4351
1935861 6051 191 426.45 522 770 3537 4391
1939903 5743 198 426.36 522 763 3493 4263
1944830 6767 198 425.76 521 764 3489 4219
1934933 5335 192 425.34 521 761 3451 4219
1948627 23375 196 424.75 520 748 3399 4351
1941233 4895 195 426.36 522 770 3505 4243
1941433 5075 193 425.78 521 765 3511 4303
1942614 5395 189 426.58 521 762 3545 4299
1939354 5779 195 426.74 522 765 3515 4351
1931236 42975 200 427.96 522 770 3501 4419
1936225 12519 193 427.23 523 782 3367 4051
1932294 4743 199 427.92 523 784 3407 4095
1939757 4507 199 426.5 522 773 3305 3933
1939336 8575 200 426.63 522 773 3365 4055
1936468 4811 199 427.05 523 786 3353 4035
1934090 5399 192 427.45 523 791 3363 4085
1935142 12887 201 427.78 523 785 3431 4127
1938082 4555 194 427.32 523 781 3351 4029
1938593 5243 196 426.8 522 779 3421 4119
1935346 5779 189 426.52 522 776 3341 4041
1938027 5391 189 427.32 522 773 3415 4139
1930035 5071 197 426.65 522 782 3411 4055
1938925 17247 198 425.8 521 770 3293 4045
1939507 5867 203 426.88 522 773 3421 4131
1944399 5071 197 425.8 520 767 3361 4045
1941954 4975 201 426.54 522 772 3403 4111
1938168 5175 200 427.12 522 775 3455 4211
1938525 4883 197 426.55 522 771 3385 4069
1943426 5411 197 426.21 521 770 3397 4111
1937926 5627 195 427.28 523 776 3433 4143
1936614 6679 197 427.06 523 774 3407 4167
1942574 4655 200 427.39 523 770 3377 4075
1941691 5411 192 426.8 521 764 3447 4147
1946616 4935 195 426.24 521 766 3391 4061
1942554 12519 195 426.8 522 772 3429 4187
1933937 7775 200 426.81 523 772 3461 4331
1938585 8119 196 427.38 523 772 3467 4299
1934119 5319 203 426.43 522 776 3403 4107
1941165 5215 200 426.84 522 772 3461 4163
1931960 7083 202 426.32 522 776 3411 4171
1937017 8335 201 426.37 522 771 3411 4131
1936547 14263 198 427.32 522 765 3469 4327
1937887 4691 201 427.08 522 785 3345 3977
1939247 5419 198 426.6 521 776 3349 4057
1937812 4891 199 427.22 521 778 3367 4029
1941243 5015 198 426.99 522 775 3353 4001
1935874 5191 200 426.81 522 776 3363 3981
1936282 5299 201 427.27 523 775 3351 4003
1938138 5067 194 427.05 522 777 3373 4033
1941492 5155 200 427.18 521 775 3381 4035
1937425 4831 199 426.9 523 774 3369 4049
1939341 7831 198 426.8 522 776 3367 4075
1943256 5147 195 427.01 522 772 3389 4065
1936736 7167 199 427.89 523 773 3451 4183
1937017 5019 199 427.04 521 778 3449 4147
1935130 4855 199 427.17 522 778 3419 4089
1936777 5459 191 426.94 522 776 3397 4115
1938459 4579 200 426.57 521 773 3371 4021
1931398 12503 201 426.54 522 776 3423 4215
1944317 5543 196 426.88 523 768 3393 4127
1935885 5679 197 427.22 523 775 3375 4075
1934437 4907 194 427.48 523 777 3403 4095
1941726 4655 196 427.44 523 770 3365 4037
1937906 4851 199 427.28 523 767 3377 4073
1941385 5675 200 426.6 522 766 3437 4155
1939147 5371 201 426.76 522 773 3419 4107
1941846 4863 196 426.52 522 770 3389 4051
1942355 5255 196 426.19 521 766 3413 4139
1939365 4851 196 427 522 771 3453 4155
1940355 7447 203 426.93 522 769 3455 4175
1938043 8639 192 427.14 522 764 3443 4171
1932141 56063 199 430.06 522 766 3427 4255
1941078 5139 196 426.85 522 778 3333 3993
1938112 5423 195 427.11 522 780 3363 4029
1937959 5671 197 426.6 521 772 3341 4019
1943549 4731 194 426.69 521 769 3343 3997
1925670 7847 203 426.84 521 779 3359 3997
1941881 4855 199 426.8 522 773 3349 3985
1937800 4631 192 426.3 522 772 3317 3963
1936200 5607 197 427.53 522 779 3383 4067
1937144 5575 201 427.37 522 774 3407 4111
1940961 9823 201 426.74 521 772 3393 4119
1939034 12671 197 427.19 522 772 3361 4041
1937947 5687 185 427.41 523 768 3401 4091
1937175 5731 196 426.73 522 776 3385 4083
1936035 5327 202 427.31 522 782 3369 4015
1941046 5151 194 426.86 522 771 3397 4063
1940737 5047 199 426.58 522 772 3365 4015
1939014 15103 199 426.86 521 767 3375 4127
1931127 4883 198 426.56 522 773 3375 4083
1935575 4759 194 426.8 522 771 3387 4033
1939603 4551 196 426.95 522 771 3363 4013
1932037 5063 200 426.39 522 780 3407 4127
1932814 5223 197 426.88 522 778 3417 4119
1931901 5863 195 427.01 522 770 3461 4183
1940261 5203 196 427.17 522 769 3451 4139
1938484 5923 198 426.83 522 776 3431 4195
1939085 6747 199 427.73 522 773 3483 4311
1936585 5679 202 427.45 523 768 3455 4227
1940442 6171 199 427.03 522 768 3385 4079
1931731 7931 202 427.86 523 777 3507 4591
1932195 14119 198 428.43 524 779 3383 4135
1936663 5655 194 427.74 523 782 3363 4099
1933602 5399 197 428.31 523 786 3371 4059
1934661 5439 189 427.92 523 781 3399 4167
1934255 5099 196 427.62 523 782 3359 4063
1928162 10743 201 428.62 524 788 3465 4447
1934292 5719 195 428.1 524 787 3423 4183
1934414 5567 202 427.5 524 783 3319 3967
1934493 6359 194 429.02 525 788 3391 4127
1932905 4855 201 427.95 523 781 3401 4067
1935666 4855 195 428.02 524 779 3363 4039
1922291 12783 198 428.05 524 788 3407 4171
1925406 5035 201 428.87 524 784 3433 4155
1934013 4787 200 428.52 525 778 3405 4143
1934015 4855 201 428.41 524 782 3383 4039
1935957 4635 199 427.4 523 776 3373 4047
1936664 4847 192 428.14 524 778 3369 4041
1935863 5647 200 428.31 525 781 3419 4151
1938518 4711 196 427.71 524 773 3381 4049
1930505 5331 186 428.07 525 782 3379 4067
1934723 4991 195 428.96 527 779 3419 4107
1937741 5679 199 427.7 524 773 3453 4203
1939026 4887 202 427.32 523 767 3365 4033
1934901 5711 200 428.12 524 781 3427 4071
1932462 5599 200 428.62 523 778 3479 4191
1934533 4959 201 427.72 524 778 3431 4087
1929982 4787 188 428 524 779 3395 4081
1927565 5075 200 428.74 525 785 3437 4163
1935871 7723 203 428.26 524 773 3413 4259
1925002 13527 202 428.49 524 778 3379 4139
1935811 4667 200 428.84 525 780 3321 3965
1932969 5499 193 428.2 524 784 3385 4093
1934938 5391 202 428.14 524 778 3401 4211
1932882 4951 189 428.65 525 785 3363 4015
1934792 5267 199 428.27 524 780 3379 4107
1937206 5759 199 428.38 524 778 3399 4135
1930873 5831 201 428.04 523 785 3405 4119
1937095 4867 198 427.75 523 780 3395 4057
1931896 5575 198 428.82 524 782 3417 4115
1933615 4923 187 427.99 524 780 3367 3999
1934518 5531 189 428.35 524 781 3401 4083
1935072 12383 198 428.69 524 777 3421 4063
1936726 4971 200 428.32 525 776 3399 4093
1932225 5815 200 428.43 524 784 3433 4215
1931430 5579 200 428.92 525 783 3409 4115
1926737 4975 202 429.39 525 782 3427 4127
1930645 5319 200 429.48 526 772 3415 4147
1914742 8463 199 430.71 529 784 3417 4107
1917949 7191 196 432.97 532 780 3445 4291
1915607 6919 199 432.41 533 783 3413 4163
1914222 5875 201 432.91 534 786 3407 4085
1915749 8343 200 433.04 533 786 3403 4131
1920041 11231 200 432.85 533 784 3419 4131
1919912 6035 199 432.2 531 788 3415 4065
1923888 5259 201 430 528 785 3449 4143
1932106 5815 193 428.37 525 775 3421 4235
1932562 4607 198 428.74 525 773 3391 4071
1933566 14751 195 428.43 523 777 3377 4089
1935037 5127 200 427.2 522 774 3313 4005
1935366 5343 199 429.07 525 781 3355 4039
1935688 7747 201 428.53 524 779 3357 4071
1932691 5643 196 428.51 524 783 3409 4119
1935507 5079 201 428.2 524 781 3365 4001
1932456 4875 205 427.95 523 776 3381 4057
1935394 4903 202 428.05 523 775 3395 4031
1928736 8415 192 428.5 524 780 3393 4207
1936652 4715 201 427.83 524 773 3351 4009
1933739 4979 195 428.18 524 779 3393 4057
1939524 4895 200 427.82 524 770 3385 4069
1934428 5807 198 428.94 525 777 3429 4191
1934684 5911 201 428 524 783 3387 4119
1935641 8255 195 427.99 524 779 3379 4023
1931354 4819 201 428.13 523 778 3385 4081
1934250 5179 198 427.86 523 773 3407 4075
1935861 5391 202 428.08 524 774 3407 4111
1936755 5411 196 428.42 524 772 3415 4111
1938772 4679 195 428.49 524 778 3385 4019
1937116 5363 196 427.89 523 772 3415 4119
1937856 5183 197 428.41 525 778 3401 4093
1931154 4695 202 428.1 524 779 3377 4061
1937957 5339 200 428.76 524 768 3433 4159
1933483 5227 202 428.18 524 774 3391 4115
1933964 4935 196 428.69 525 776 3443 4167
1934401 5619 199 427.95 524 772 3423 4179
1918620 13943 203 429.31 525 786 3413 4107
1933635 4547 192 429.11 526 781 3319 3969
1932902 4647 200 428.7 525 782 3313 3925
1931357 4495 201 429.01 525 781 3361 3981
1929834 5043 202 428.94 525 783 3349 4009
1935490 17247 189 428.58 524 779 3375 4077
1936076 5375 198 428.23 524 776 3371 4049
1937209 5571 201 428.28 523 773 3401 4135
1933306 5339 197 429.01 524 779 3433 4203
1933873 5047 201 428.98 524 777 3395 4023
1934534 4783 194 428.32 524 783 3387 4059
1935696 12671 197 428.42 524 783 3373 4067
1933222 5251 196 428.07 524 776 3319 3979
1934215 5211 199 428.14 524 775 3401 4143
1934477 5855 199 428.52 523 773 3443 4159
1935827 6015 204 428.67 524 777 3465 4155
1932471 5375 190 428.17 524 780 3377 4059
1934147 12447 200 428.3 524 775 3395 4103
1925468 5075 202 428.49 524 782 3449 4127
1935659 5443 201 428.25 524 773 3433 4143
1939577 5131 199 428.26 525 771 3361 4051
1934540 5463 202 428.69 524 781 3439 4111
1936979 6051 203 428.56 524 778 3461 4175
1932562 4851 203 428.77 525 780 3401 4059
1935238 5599 195 428.13 524 775 3461 4175
1936270 4827 199 427.29 524 776 3355 4031
1935366 13535 200 428.69 524 772 3451 4239
1938947 5063 199 428.27 523 776 3365 4019
1936709 13247 201 427.99 523 776 3353 3975
1935824 5159 199 428.89 524 780 3375 4057
1935736 5315 203 427.85 524 774 3335 3975
1931841 5915 195 427.84 523 786 3333 4001
1932009 5299 201 429.22 524 784 3423 4123
1933324 6711 194 428.87 524 783 3445 4139
1927625 4887 194 428.75 524 790 3383 4045
1934692 13031 195 428.06 523 780 3379 4095
1925837 5655 200 427.63 523 776 3413 4093
1935384 5635 197 427.92 523 774 3391 4077
1933652 5403 199 428.52 524 782 3401 4087
1935679 7375 200 428.49 524 776 3375 4057
1937776 5855 196 427.61 523 775 3365 4023
1930443 5155 201 428.8 524 784 3437 4155
1933902 5699 203 428.7 524 776 3387 4055
1931832 4899 200 428.49 523 777 3407 4073
1931901 5243 200 428.24 524 776 3405 4127
1932388 5279 195 428.37 524 779 3419 4123
1934019 4751 202 428.38 524 781 3353 4003
1929955 15679 206 428.58 525 779 3367 4131
1931322 6371 191 428 525 779 3395 4091
1934714 6607 204 428.22 525 786 3403 4093
1933047 5339 195 428.96 525 778 3451 4127
1930447 5171 200 429.48 526 776 3499 4215
1921729 13663 200 429.44 525 789 3449 4211
1926764 5391 194 428.75 525 792 3379 4065
1917972 5279 196 428.6 526 803 3341 4027
1926932 5043 198 428.45 525 799 3323 3967
1928871 4843 197 428.84 525 787 3373 4019
1928662 4887 195 429.35 525 788 3381 4029
1930622 4519 194 428.19 525 798 3337 3987
1929237 12639 202 429.49 526 800 3419 4095
1927904 5503 205 428.65 524 785 3415 4147
1925212 5027 199 428.2 525 792 3361 3997
1922884 5079 198 429.2 525 792 3401 4071
1922425 5123 201 428.86 526 798 3379 4095
1926430 5475 196 428.58 525 796 3385 4045
1923296 12623 195 429.03 525 794 3411 4051
1920874 4971 194 428.58 525 796 3403 4103
1918882 7383 193 428.49 524 801 3421 4139
1924270 5055 199 428.26 524 791 3441 4127
1921918 5099 198 428.88 524 793 3399 4089
1919434 6835 196 428.14 524 798 3389 4065
1917868 20271 202 429.64 525 794 3471 4251
1910430 5023 201 428.65 524 806 3431 4095
1913914 5975 200 428.94 525 804 3431 4139
1915938 6251 198 428.55 524 800 3431 4103
1910842 5615 204 428.86 525 808 3467 4159
1915343 5399 196 428.76 525 804 3447 4167
1922882 15863 201 427.81 525 788 3279 4073
1910804 13799 192 429.31 525 812 3439 4223
1913029 6339 197 428.11 524 809 3331 4167
1913001 5227 191 429.41 526 816 3375 4071
1904272 5599 202 429.48 526 824 3409 4147
1910256 5551 190 428.56 525 812 3353 4055
1906957 18879 202 427.49 524 811 3299 4211
1903561 4979 202 429.37 526 827 3373 3995
1899378 5203 201 428.75 525 826 3409 4139
1903553 4711 196 429.47 526 824 3333 3969
1896447 9655 199 429.62 526 835 3393 4107
1901354 5331 203 428.3 525 821 3367 4051
1900993 7667 198 429.19 526 827 3419 4111
1890804 6135 197 429.11 526 844 3427 4099
1901112 4767 195 428.27 525 829 3349 4007
1893307 5771 196 429.16 526 842 3425 4127
1894673 5363 198 429.14 525 841 3429 4073
1901455 5123 201 428.86 525 830 3447 4139
1896587 4907 202 429.03 526 840 3391 4023
1894213 5959 200 428.72 526 840 3413 4115
1895217 4643 191 428.99 527 839 3381 4039
1894963 7119 204 429.55 527 846 3435 4143
1889778 6579 198 429.41 527 847 3395 4035
1892644 5715 199 429.37 527 847 3389 4065
1894051 5319 198 429.05 527 838 3383 3999
1888465 5351 201 429.7 528 856 3433 4107
1884074 13135 198 430.58 528 858 3419 4167
1891736 5283 202 429.87 528 858 3351 4013
1890578 5367 198 430.53 528 856 3429 4127
1888142 5855 200 429.59 527 851 3353 4047
1885343 5379 194 428.94 525 860 3399 4119
1881883 7011 199 430.14 526 852 3399 4083
1882003 6559 198 429.37 527 859 3393 4063
1890563 5723 197 430.41 528 849 3397 4111
1886375 5879 196 430.16 528 858 3419 4071
1885739 5835 200 430.2 529 860 3361 4089
1893097 18975 200 429.29 527 845 3359 4033
1891781 5443 199 429.87 528 842 3387 4059
1886081 6299 200 429.84 527 848 3463 4127
1890671 5679 196 430.5 528 838 3411 4083
1887562 5475 198 431.24 529 844 3441 4139
1891463 5323 202 430.01 527 847 3443 4103
1896765 6027 197 429.58 527 839 3387 4047
1891186 5343 198 429.78 527 845 3439 4155
1891481 12375 194 429.09 525 841 3441 4159
1886608 4843 194 429.96 527 853 3435 4119
1893290 7099 202 429.71 528 845 3405 4067
1891836 6863 197 430.09 529 844 3399 4115
1889167 4903 199 429.64 528 851 3419 4091
1883907 13687 196 430.26 528 850 3473 4247
1889099 5423 196 429.06 526 856 3365 4005
1893142 5099 192 430.14 527 850 3387 4037
1892470 5279 196 430.61 529 855 3379 4003
1897028 4619 197 429.84 528 845 3375 3969
1899722 5159 190 429.84 527 839 3357 4033
1898117 5907 201 429.36 526 832 3383 4055
1898480 7035 202 430.17 528 840 3403 4093
1901110 5579 199 430.41 529 835 3425 4115
1899239 6419 205 430.47 529 839 3369 4031
1900210 6143 198 430.29 528 837 3421 4077
1903796 4627 194 430.03 529 833 3373 3981
1901737 5359 201 430.04 528 831 3399 4089
1901756 6219 201 430.27 528 838 3399 4047
1903177 5519 195 430.22 528 831 3431 4131
1908036 4867 191 430.02 528 819 3407 4055
1909271 5407 199 428.99 527 814 3405 4087
1903458 4999 195 429.66 527 826 3417 4065
1904980 5443 197 430.14 527 818 3459 4115
1895713 7315 198 429.81 527 828 3463 4219
1907560 5091 204 430.08 527 811 3449 4115
1911725 5623 201 429.73 526 816 3457 4175
1912795 5899 199 429.04 526 808 3387 4051
1911193 12607 197 429.41 527 815 3451 4155
1911499 13735 197 429.77 526 811 3437 4171
1910704 5031 200 429.71 526 816 3333 3959
1914061 4943 195 429.42 525 811 3363 4001
1915023 4915 201 429.68 527 818 3345 3979
1906462 6391 195 429.38 526 824 3349 4035
1909876 5095 203 429.86 527 821 3397 4031
1911934 5475 197 430.14 527 818 3415 4155
1908124 7435 203 429.65 527 823 3391 4091
1912311 7515 206 429.8 526 822 3401 4159
1910168 5199 203 429.39 526 809 3437 4107
1911389 5315 201 429.37 527 813 3391 4049
1913087 8631 202 429.54 527 811 3439 4199
1914645 4763 201 430.39 528 807 3407 4075
1914506 5379 193 429.49 527 805 3391 4069
1917219 5007 194 430.45 528 808 3443 4123
1916877 4963 201 430.61 529 803 3391 4073
1913356 7095 200 430.1 528 809 3445 4159
1917667 6011 199 430.7 528 807 3457 4203
1913609 6807 204 430.47 528 812 3399 4099
1917383 5171 203 430.25 528 805 3431 4115
1913293 8503 199 431 529 806 3433 4123
1914042 5223 197 430.77 529 812 3411 4111
1917455 5919 201 429.67 527 804 3445 4123
1917247 13631 191 430.68 527 803 3421 4219
1913641 4939 202 431.26 529 806 3351 4035
1909494 4867 195 429.69 528 821 3323 3953
1913996 5731 199 431.51 529 817 3423 4183
1920202 4627 199 429.51 527 799 3353 3991
1922856 6775 200 429.32 526 799 3373 4091
1921921 12375 201 429.47 526 793 3399 4179
1920247 4715 200 430.42 527 798 3393 4055
1912001 5067 203 429.12 526 804 3377 4017
1922405 8743 204 429.73 527 799 3397 4131
1920036 5087 197 430.72 529 796 3383 4053
1921294 5863 198 430.03 527 800 3423 4131
1921930 5631 201 429.79 527 797 3387 4025
1920255 4879 201 430 527 797 3401 4059
1920699 6911 196 429.64 527 804 3409 4099
