################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
2256841 6107 158 447.47 589 944 4055 4871
2252316 6523 156 447.35 587 947 4139 5031
2259124 6223 159 446.49 586 930 4031 4863
2259118 8183 156 446.78 586 932 4087 4911
2256311 5863 160 446.94 586 943 4055 4863
2261559 5911 155 445.96 585 932 4005 4835
2258438 6735 153 447.14 586 938 4143 5071
2255510 5943 161 446.99 587 943 4027 4883
2265623 6503 159 445.75 584 919 4065 4935
2254991 8063 156 446.2 586 941 4027 4867
2261746 8095 160 446.79 586 935 4051 4911
2249656 6655 167 446.08 586 941 4023 4875
2240619 5811 164 447.09 588 960 4069 4887
2248249 9207 165 447.97 588 957 4151 5091
2258634 5775 159 446.33 585 934 4035 4887
2262521 8519 162 446.49 586 922 4103 4943
2257134 6427 164 446.95 586 943 4119 4995
2256125 6391 157 447.51 587 940 4079 4927
2254586 6399 160 447.46 588 937 4103 4931
2258512 6395 157 446.71 586 932 4127 5019
2255924 6159 157 447.42 587 943 4171 5015
2255354 8031 153 447.27 588 939 4079 4983
2253591 5683 163 447.91 590 950 4059 4879
2251047 8695 158 447.54 589 947 4111 5003
2260669 6315 156 448.06 588 937 4123 4987
2255329 5735 155 447.6 589 943 4059 4863
2263319 5767 161 446.2 586 927 4051 4887
2257172 9383 154 446.92 587 936 4119 4991
2257052 7227 155 446.81 588 941 4099 4951
2257396 5719 160 446.99 588 942 4087 4943
2252532 6919 165 446.29 587 933 4065 4915
2257742 15119 160 446.26 586 923 4061 4895
2255994 6011 160 447.34 587 930 4147 5015
2253651 8623 158 447.85 589 941 4119 5331
2257081 6115 157 447.53 589 941 4027 4847
2248867 14471 159 448.37 589 952 4013 4915
2252061 5663 151 447.91 589 948 4025 4839
2249312 7063 157 448.38 590 958 4069 4939
2255004 6459 154 448.22 589 954 4025 4891
2248240 7831 161 448.51 589 954 4063 4959
2252472 6119 158 447.56 588 959 4029 4807
2243251 9823 163 447.5 588 964 4033 4879
2251914 5763 164 447.72 588 948 4033 4831
2253830 6499 158 447.54 588 944 4033 4867
2250754 5687 165 448.01 588 954 4029 4827
2250231 11263 162 447.55 587 954 4045 4899
2251081 8335 158 447.6 588 947 4103 5159
2251804 5903 161 448.35 588 947 4073 4899
2246748 5679 154 448.34 590 951 4043 4863
2246126 5619 160 448.26 591 958 4021 4823
2251447 7043 161 449.28 590 956 4089 4891
2244351 5723 162 447.82 590 960 4019 4883
2247107 5547 163 447.24 589 961 3985 4759
2252894 6407 154 447.5 588 951 4021 4863
2254987 6287 154 447.92 588 939 4057 4955
2255946 6419 162 447.48 587 933 4069 4939
2253266 6011 165 448.11 589 950 4037 4891
2242707 7983 162 448.99 590 964 4065 4931
2247489 6243 162 448.45 589 940 4069 4883
2254331 5551 164 448.87 589 942 4085 4891
2254365 5739 158 448.17 590 937 4037 4899
2251488 7495 164 449.02 590 935 4119 5031
2255699 6447 162 448.55 589 932 4111 4967
2248644 7955 164 448.68 589 943 4089 4967
2250722 5887 150 448.95 590 943 4119 4963
2249690 6099 163 449.46 590 942 4155 5027
2242924 6251 163 448.87 591 954 4061 4927
2248359 6451 157 449.38 592 949 4045 4895
2247486 5751 155 448.84 591 947 4077 4875
2246965 8735 160 449.77 590 949 4151 5091
2246073 6139 160 449.53 591 956 4139 4955
2249686 6247 163 448.73 590 948 4115 4955
2248877 14863 153 450.13 593 950 4057 4907
2248600 6299 154 450.12 593 943 4131 5043
2250274 5815 166 449.51 591 942 4067 4903
2250762 8071 152 449.78 591 943 4083 4911
2246787 9271 160 449.08 591 940 4089 5023
2251325 6027 156 448.92 590 944 4079 4891
2251701 6171 164 449.13 589 940 4119 4959
2252065 6143 164 448.48 590 940 4135 4979
2243083 58111 161 451.44 589 936 4131 5179
2248984 7999 153 448.28 588 942 4073 4915
2256983 5583 158 448.58 588 934 4051 4855
2253295 5795 164 448.83 588 942 4041 4835
2240279 7031 145 449.45 591 963 4039 4887
2248573 6375 163 449.5 590 953 4033 4855
2246746 6259 158 449.52 590 950 4085 4911
2253104 8063 161 448.86 588 943 4063 4927
2251579 6551 155 448.62 589 945 4053 4895
2248038 6079 163 449.15 591 951 4053 4867
2251715 5843 158 449.16 589 945 4053 4851
2258996 6447 160 448.58 588 933 4107 5051
2253599 9519 159 449.21 589 938 4091 4895
2254849 9135 162 449.45 588 937 4131 5247
2254795 5919 149 448.67 588 946 4059 4887
2248318 6407 159 449.74 590 951 4151 4947
2251053 6155 161 449.1 589 943 4115 4943
2252150 5811 162 449.87 590 941 4059 4903
2252956 5943 153 449.5 589 941 4057 4887
2250511 8815 161 449.17 589 936 4089 5031
2252236 10607 162 448.33 588 939 4089 4959
2248694 6551 162 449.35 589 944 4139 4979
2251109 8003 162 449.75 590 944 4081 5047
2244677 9607 163 449.68 591 942 4043 4923
2228907 5747 157 452.62 595 948 4059 4895
2223161 10271 160 455.02 598 959 4183 5535
2220654 6419 160 456.7 604 952 4061 4935
2208471 6375 158 457.8 607 961 4119 4951
2212407 6499 162 458.79 606 957 4187 5063
2224608 6503 159 457.16 604 955 4127 5015
2221554 5967 157 457.34 604 948 4123 4975
2222037 7907 162 456.52 605 958 4135 5019
2225731 6291 157 454.27 602 962 4087 4951
2239713 6011 148 452.21 596 950 4111 4951
2244975 22207 161 449.93 592 957 4131 4951
2248241 8287 169 449.31 590 942 4139 5079
2251556 6055 168 448.99 589 941 4095 4943
2239844 8115 160 449.64 592 964 4099 4955
2249111 6659 149 449.37 591 946 4107 4959
2243061 6147 164 449.94 592 957 4123 4991
2247153 5979 155 449.59 591 947 4111 4963
2242672 7043 167 448.86 590 941 4131 5087
2246864 5871 161 448.88 591 936 4103 4951
2253257 8335 156 448.91 589 927 4127 5095
2248920 12727 153 449.45 591 941 4119 5031
2245291 15311 165 449.42 591 946 4087 5015
2247486 8159 163 450.2 593 957 4051 5035
2243260 5819 161 450.76 593 960 4025 4811
2250167 5975 163 449.41 590 947 4033 4875
