################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
576157 16575 508 1193.37 1587 2657 5271 7175
574929 10463 519 1192.78 1601 2719 5175 7627
580244 13823 507 1182.62 1574 2555 5295 7631
578082 14951 500 1185.25 1588 2643 5415 7655
577937 10911 501 1187.5 1592 2553 5215 7139
575342 11103 493 1192.39 1596 2673 5167 7719
581897 16167 513 1176.79 1572 2513 5103 7123
576871 11215 496 1185.88 1584 2615 5075 7299
578696 20799 515 1182.55 1579 2665 5351 7287
576470 9903 504 1190.33 1590 2655 5171 6627
578340 12343 495 1185.82 1580 2529 5163 7599
577590 15519 511 1177.8 1584 2661 5335 8359
576026 16367 499 1189.11 1582 2679 5235 7051
573081 15183 493 1182.36 1596 2811 5367 6807
573806 13591 497 1188.17 1594 2645 5243 7287
574750 11143 480 1187.5 1587 2629 5119 7267
571488 9887 477 1195.16 1610 2781 5311 6759
572916 12975 509 1186.79 1575 2561 5223 7227
577624 12935 482 1177.17 1569 2623 5195 7331
573861 13159 497 1183.96 1587 2591 5331 7643
568616 11391 497 1196.23 1603 2609 5263 7883
574843 11295 489 1180.65 1583 2631 5371 7531
564231 12863 497 1203.84 1614 2559 5231 6827
580275 11231 489 1170.47 1559 2467 5403 7135
570733 16095 495 1190.33 1593 2711 5207 7403
570995 11023 505 1181.98 1586 2651 5243 7859
573974 11295 504 1183.07 1574 2477 5363 6707
571936 12383 496 1184.65 1577 2475 5271 7171
579036 14031 487 1166.44 1542 2481 5243 7039
562033 12631 501 1194.7 1605 2701 5223 7195
567979 10663 513 1180.95 1581 2587 5051 7107
566624 11407 483 1189.88 1587 2581 5111 7403
559185 11407 504 1195.89 1614 2747 5183 7107
572732 14135 510 1181.24 1573 2587 5155 7315
556776 10599 492 1206.18 1630 2809 5163 7067
573974 12823 490 1175.78 1570 2537 5151 7031
570410 16591 511 1182.67 1578 2639 5287 7455
561602 14063 506 1193.88 1600 2807 5171 7667
571810 11183 495 1185.02 1573 2533 5139 6815
558633 11471 516 1199.26 1606 2697 5331 7443
571780 10967 506 1175.63 1566 2517 5163 6639
560557 12439 488 1197.1 1604 2613 5031 8247
566595 16071 501 1179.94 1569 2501 5127 7019
567038 20927 478 1186.3 1586 2577 5351 7747
562759 18271 495 1191.55 1596 2605 5323 7447
567701 13599 497 1176.68 1571 2659 5091 7179
558324 13759 465 1191.55 1602 2841 5339 8311
574545 13463 502 1165.01 1538 2351 5119 7223
564581 10447 505 1185.96 1582 2633 5267 7519
563627 13327 506 1184.65 1589 2643 5143 7391
559500 11487 493 1192.9 1597 2649 5483 7607
559951 13263 502 1186.55 1592 2631 5171 6951
562908 11959 503 1184.51 1583 2641 5323 7911
561044 17023 481 1191.52 1605 2673 5347 7871
565471 17183 486 1183.63 1583 2599 5323 6583
560704 11559 498 1195.98 1599 2677 5375 7131
556232 10447 493 1198.1 1608 2779 5331 7175
564627 11615 511 1187.92 1596 2775 5215 7591
563112 13615 449 1188.64 1591 2755 5459 7659
561297 11175 506 1182.23 1578 2609 5283 7119
557330 15175 504 1199.57 1605 2789 5175 7003
559039 12519 520 1185.29 1586 2619 5419 7099
566210 19631 488 1184.13 1575 2697 5251 7603
554428 10359 494 1196.86 1601 2609 5375 7355
561326 10143 476 1184.41 1584 2743 5171 6627
560913 14183 503 1185.85 1578 2607 5403 8103
563387 33791 508 1175.56 1564 2509 5235 6823
557159 14863 492 1193.85 1597 2573 5307 7059
552507 17695 508 1194.53 1608 2677 5263 7111
562406 11071 492 1177.63 1574 2699 5211 7371
558661 12415 508 1190.36 1583 2561 5319 7947
559596 11855 496 1183.95 1577 2669 5115 7975
559685 16215 515 1187.6 1592 2737 5163 6755
556201 12047 502 1185.72 1582 2615 5427 6887
