################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
695600 135679 455 1851.69 2689 5607 10119 124287
845013 15359 467 1703.08 2345 4207 7435 10391
827558 25519 455 1734.26 2413 4003 6411 11207
825541 22047 449 1750.92 2439 3985 6839 8823
831697 15975 457 1731.7 2431 3959 6891 10903
831880 14047 499 1734.22 2405 3885 7387 9831
823240 35647 428 1756.14 2433 4037 8151 13015
808789 17215 475 1785.02 2473 4319 7695 10111
782284 15447 467 1833 2541 4311 8007 9903
767337 17119 501 1863.05 2641 4639 7999 10991
766759 34143 456 1869.21 2645 4667 7967 10535
765100 14415 508 1879.22 2657 4627 7875 11215
768480 19375 461 1870.53 2651 4863 8607 10919
768938 14791 477 1870.36 2627 4611 8143 11167
774746 15903 447 1853.81 2591 4455 7851 10551
762602 15511 445 1886.67 2681 4735 7855 10551
763502 16639 475 1880.03 2659 4851 8255 13039
759968 19343 449 1879.82 2673 4807 8319 11271
760666 21919 490 1890.92 2687 4739 8215 17839
767663 17551 496 1875.11 2631 4543 8199 10687
763914 20863 463 1887.33 2637 4671 8279 12143
767594 17807 437 1876.95 2623 4611 8087 10231
755703 17567 507 1899.25 2709 4747 8287 11599
768578 14671 483 1875.37 2643 4643 8007 11311
758627 14223 460 1897.92 2705 4887 8303 12079
765399 19935 462 1873.38 2643 4615 8239 10991
756125 19471 497 1898.91 2687 4735 7935 10271
755539 14927 477 1904.62 2691 4623 7987 10679
762775 19743 480 1888.19 2641 4495 8031 12767
761996 16959 466 1884.68 2655 4635 7835 10191
753279 68415 438 1907.73 2663 4735 9111 41247
763300 17071 489 1890.57 2639 4475 7731 11327
766377 18623 443 1872.68 2631 4467 8091 10511
756703 16767 469 1896.46 2669 4895 8015 12095
766571 18767 473 1877.72 2645 4611 7751 10703
753379 21903 423 1910 2683 4711 8175 11095
756179 17663 468 1904.42 2707 4811 8295 12815
751051 14919 434 1917.03 2709 4939 7811 10663
759012 20335 494 1893.73 2667 4663 7995 10247
750513 17695 462 1917.82 2723 4915 8035 11287
758211 16559 474 1901.48 2673 4867 7603 10647
753106 16591 480 1916.57 2701 4607 7735 9527
749386 26287 496 1920.67 2713 4791 8119 12135
756025 15071 464 1902.25 2681 4703 7583 10439
748905 16639 451 1919.9 2711 4675 7747 10207
747358 16943 476 1923.43 2741 4859 8247 11055
746269 23455 437 1930.39 2723 4775 7999 12103
760863 15623 492 1893.71 2663 4711 8067 10631
744120 30143 453 1922.68 2731 4843 7979 12743
757392 17551 471 1893.57 2645 4591 7855 10735
742763 17231 456 1931.69 2747 4895 8215 12303
748706 13927 466 1906.72 2719 4871 8035 11583
731776 14567 489 1951.95 2825 5139 8043 10559
751758 17631 460 1909.25 2707 4811 8439 13663
747856 21119 471 1915.64 2733 4867 8231 13127
737053 20303 466 1936.45 2793 5023 8183 12239
746199 31615 503 1918.33 2735 4911 8335 12903
734239 18191 435 1944.64 2797 4995 8111 11087
747408 17039 476 1916.15 2745 4923 7987 10287
745804 15519 477 1912.9 2715 4863 8119 11183
741620 18511 421 1927.2 2767 4935 7883 11207
731804 16783 416 1962.61 2815 4923 8111 10855
744710 17583 484 1925.15 2767 4927 8295 11911
743124 19647 469 1916.86 2743 5099 8503 12487
740483 15959 461 1923.21 2765 4971 8163 11839
741468 16271 478 1932.38 2765 4911 8199 12135
736872 24975 464 1942.77 2787 4899 8703 13255
741446 19935 471 1931.5 2745 4939 8391 11015
737163 17071 469 1937.18 2757 4787 8135 11191
746137 23327 428 1917.75 2727 4835 8031 11039
733994 16815 448 1940.59 2781 5075 8231 12903
741129 24927 458 1937.58 2753 4839 8239 13495
743476 14903 483 1917.71 2737 4775 8351 11207
732981 15799 469 1944.14 2821 5135 8279 11599
740564 17327 423 1920.53 2723 4863 8263 12999
738273 22159 461 1937.86 2789 5003 8247 11863
737801 18655 469 1939.15 2771 5003 8199 10687
735177 19647 451 1945.21 2755 4759 7955 12159
727720 23567 478 1956.46 2787 4835 8247 11351
733642 15279 463 1947.93 2751 4783 7939 11631
739767 25311 484 1935.07 2727 4767 8223 12767
733325 19839 481 1944.03 2781 4951 8095 12895
720236 18047 475 1972.28 2871 5147 8083 11495
722150 19503 498 1961.23 2815 5011 8375 12071
729904 23455 459 1943.1 2785 5015 8391 14687
725782 19535 450 1956.8 2801 4915 8191 11391
