################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
2008948 66303 199 509.18 663 1042 4775 15311
2379009 6787 203 501.53 663 1014 3955 5607
2361364 6403 198 508.35 665 1070 4623 5491
2363347 8471 202 509.5 666 1078 4703 5803
2361664 7291 200 509.29 667 1088 4615 5587
2361865 6595 200 510.01 668 1091 4695 5615
2351321 6895 197 510.76 670 1108 4683 5579
2350621 6907 197 509 669 1111 4615 5531
2349787 7071 203 510.7 672 1134 4671 5667
2362712 6455 202 511.52 672 1105 4623 5471
2361301 8031 205 510.57 670 1103 4719 5823
2361254 7575 198 509.8 670 1110 4615 5483
2357672 7759 199 511.42 672 1122 4651 5671
2357670 8447 195 510.73 671 1101 4707 5707
2364185 7367 201 510.02 670 1103 4659 5595
2360153 7167 204 510.97 672 1113 4679 5615
2368394 6575 201 510.29 671 1099 4647 5523
2369740 7411 204 511.2 671 1089 4723 5687
2367036 7295 193 511.53 672 1102 4687 5639
2368379 6399 193 511.58 672 1109 4687 5583
2363132 7331 205 512.88 676 1125 4667 5663
2356309 7215 209 512.75 675 1145 4679 5623
2359977 7175 205 512.69 674 1129 4743 5683
2363708 6307 199 512.41 675 1127 4655 5543
2355786 6799 205 514.26 678 1138 4707 5599
2367345 7007 206 512.5 676 1118 4639 5563
2368980 6711 200 512.54 674 1100 4675 5603
2365994 6935 204 512.91 675 1107 4651 5543
2365544 8039 199 512.69 676 1120 4659 5515
2361763 6723 208 513.29 676 1129 4659 5571
2358222 6823 207 513.24 676 1132 4651 5535
2354339 7059 207 513.9 679 1137 4703 5679
2368777 8187 203 513.23 675 1104 4707 5683
2364467 10879 201 514.76 679 1119 4719 5699
2356679 8187 207 514.56 678 1140 4759 5743
2367174 6727 205 514.07 680 1125 4667 5563
2364244 6587 203 513.58 679 1131 4619 5539
2367222 7111 197 513.75 677 1126 4723 5623
2365333 7211 199 513.92 677 1127 4711 5663
2367207 8991 204 513.7 676 1108 4703 5615
2372840 6899 201 513.17 675 1110 4663 5527
2379801 14335 205 512.57 673 1088 4739 5979
