################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
208067 48543 478 786.06 993 1550 5051 12439
252930 8415 467 741.58 929 1256 2983 4979
257221 93375 466 744.27 911 1233 2897 50879
259385 91839 476 736.59 902 1220 2563 7275
251163 85247 465 763.81 936 1283 3691 51551
251008 97343 474 779.05 920 1278 12231 63775
249014 100159 467 787.13 934 1294 13471 64959
257515 61535 472 739.71 902 1252 3571 6435
253152 93631 468 769.58 909 1278 5131 60831
252940 95935 465 779.37 896 1286 17775 69567
255788 85375 478 749.68 913 1269 3541 39487
249057 96959 473 793.63 925 1313 17743 68287
252373 95423 471 769.65 929 1281 3709 68863
250992 116671 467 777.8 928 1302 6411 66943
255735 88319 468 753.23 901 1266 3713 56543
249349 117759 472 792.8 919 1300 24143 69311
255398 99647 476 751.8 909 1274 3505 57791
252185 94271 465 768.52 927 1299 4135 63359
251714 96703 479 767.98 934 1288 3793 59295
250113 93055 465 779.8 919 1297 6855 68479
248871 129599 477 790.56 916 1296 13975 71167
252877 85247 475 762.73 909 1285 4119 57183
248711 90559 459 789.7 927 1305 17871 64895
252443 93631 479 764.92 914 1291 3997 60927
253356 82943 482 759.97 919 1287 3729 52159
245995 161663 478 797.58 927 1371 17775 70143
244682 117887 480 817.07 933 1384 25807 70463
246730 98367 475 804.02 942 1350 20367 69567
245646 96319 481 827.07 908 1460 33407 71999
245334 145023 474 811.88 929 1391 26607 64703
251466 101439 462 774.89 917 1305 6835 61791
249736 93183 458 781.17 919 1311 10959 61599
247987 98815 465 791.94 920 1296 20239 70911
241465 135935 477 838.39 931 1426 36287 79679
246636 165759 461 806.17 922 1332 25279 70847
254768 115455 479 754.02 913 1276 3775 49215
251212 97983 482 777.1 921 1292 4795 67903
251233 136063 475 766.83 920 1297 4021 58847
252051 88639 467 769.13 921 1286 4207 64095
253480 97791 476 762.18 908 1283 4111 51967
251408 100863 480 772.04 912 1293 5139 63263
248103 100223 476 781.92 936 1307 6459 65279
250678 97919 470 774.49 917 1298 4739 61215
255424 84863 477 748.46 897 1278 3845 38783
250520 91839 470 765.01 930 1290 3529 62271
245899 100095 471 803.29 939 1316 22383 74943
251906 87487 480 762.57 915 1296 3745 63327
248419 94399 473 791.79 912 1307 21167 66239
240559 171903 482 842.89 945 1517 32511 73535
243662 95807 468 816.58 926 1399 26143 74815
241770 90943 474 813.98 964 1445 25503 67071
246228 104767 468 804.73 927 1390 22415 69951
244538 91711 473 809.01 925 1352 24991 69247
246543 132095 478 796.74 926 1332 22703 62399
251788 87551 483 758.28 924 1287 3703 50335
250970 96959 460 775.99 923 1309 6475 62367
244707 91263 475 814.75 932 1369 27215 73535
251932 92479 479 762.56 916 1285 3755 61663
251899 97727 463 770.72 914 1287 4167 67455
253616 94015 468 756.01 912 1285 3625 54623
250196 85119 469 771.19 925 1302 4415 55423
252023 127871 469 768 921 1289 4195 61535
249547 86975 481 777.31 936 1306 4399 61855
247578 92223 477 789.35 929 1310 13615 65311
248634 94015 465 783.33 918 1307 9199 72511
253807 99711 471 754.74 913 1277 3769 55167
250574 88767 484 772.46 923 1288 4151 60287
246257 95743 471 793.59 941 1339 11767 72831
247355 87743 471 773.49 943 1312 3769 59711
248042 91519 473 785.64 923 1298 12751 64159
239839 98623 464 835.84 949 1517 32959 70975
245733 94783 472 787.27 952 1339 5183 65375
244496 106687 470 810.94 933 1351 29615 66303
243077 139775 464 818.45 940 1400 26703 75135
245811 94975 469 799.67 930 1349 20095 64639
244544 137599 474 807.92 926 1339 26959 73087
246663 132735 484 778.65 947 1332 4147 55295
247576 106239 483 778.29 942 1332 4011 67903
244330 109887 481 806.34 932 1335 23199 69567
241445 233343 474 818.27 956 1377 23663 74623
243940 139263 463 817.95 915 1432 28239 74943
238476 127295 474 847.29 940 1522 33983 77951
242094 215551 462 827.5 931 1521 29519 71487
247522 97023 472 772.6 939 1314 3711 59135
243091 125375 479 810.2 944 1421 23343 69759
238925 141311 478 841.82 936 1547 32287 80383
234540 157567 472 882.77 950 1590 43135 115647
228374 234495 465 916.52 966 1835 46399 107583
241228 217087 472 824.39 939 1419 28319 76479
244112 176639 473 792.97 948 1341 12031 51775
242040 189439 476 817.2 941 1434 25631 82559
238192 195199 479 842.8 951 1526 28399 103871
236070 190591 460 872.67 932 1580 39519 94271
229928 267519 463 921.56 940 2067 55807 125055
217276 273919 477 1038.71 965 8911 49791 83647
212139 150271 469 879.32 953 1567 45503 89663
244299 95935 483 794.39 944 1320 15759 59263
245704 99135 475 783.59 945 1315 4139 74367
235439 209663 479 877.84 936 1702 39871 91135
238957 184447 476 829.58 961 1463 25439 83839
242063 253695 473 826.71 924 1471 29487 70335
228473 156927 482 937.16 945 3149 48479 83135
247566 80767 471 764.19 935 1300 3809 32559
240991 110911 490 815.74 959 1432 21679 71167
238835 152703 474 843.92 941 1514 36415 75839
222867 162943 474 987.76 949 3647 50047 111551
237836 188287 475 847.43 940 1477 33599 86335
240563 114623 474 816.11 953 1386 21823 74367
241515 152447 470 813.05 955 1422 22143 67135
240556 153087 481 816.28 956 1399 22559 71167
226645 212479 479 946.47 953 2101 53055 150271
239294 167679 472 838.56 949 1454 31007 80255
242746 193791 473 816.45 932 1458 27087 73599
249705 120831 473 764.38 926 1307 3785 44831
241575 212735 472 824.78 939 1394 27887 89727
232838 188415 473 888.14 955 1540 43455 123967
230698 248319 470 898.13 959 1996 45375 88191
240949 179583 474 819 955 1463 27215 71871
245539 134399 466 794.71 928 1327 15575 77247
241952 134911 473 813.42 942 1362 21567 77887
237348 180607 476 839.53 962 1515 26975 87999
214723 222207 481 1057.48 951 3637 62495 160383
235523 149119 482 875.9 944 1651 38943 83135
217425 235391 487 1029.8 961 3581 55231 134271
233179 208895 475 870.32 957 1577 35167 112255
248195 86719 474 772.98 935 1306 4175 54431
236733 150655 486 844.53 941 1500 33055 78783
223540 250367 472 953.85 974 2719 54111 123647
203795 254463 468 1136.83 983 5171 81087 173567
222632 204799 482 957.58 964 2853 49183 99711
237679 134399 440 850.42 947 1682 33407 92735
244565 176767 481 791.48 949 1341 8383 62143
243730 88639 454 792.73 949 1365 4887 66559
222870 186751 486 967.98 959 2695 59199 126463
236257 216447 486 871.29 942 1798 36095 103167
229303 194175 473 926.22 960 2221 48159 115519
239362 128767 464 825.24 951 1492 29167 71231
242361 116799 484 803.32 943 1387 19103 63039
226210 153599 486 809.57 952 1446 20559 63775
235203 1780735 461 893.78 939 1529 30783 81663
232516 154111 464 889.76 931 1611 43967 110719
225392 191871 474 957.06 956 2975 52799 124287
232316 241791 480 888.81 935 1584 46335 95807
242325 188543 462 806.3 940 1366 15023 71359
237754 200575 471 831.25 956 1465 24783 86399
239330 142847 462 835.24 942 1507 32111 75775
228625 171775 468 910.22 966 2891 39679 84223
239114 174847 473 822.91 956 1479 23455 71999
232958 235903 474 893.24 947 2623 38623 83839
232695 205439 464 886.32 944 1614 46975 116991
242910 153471 457 798.79 956 1342 13327 62591
239323 95551 460 836.4 955 1549 28639 72895
234201 194815 463 883.2 934 2063 41663 96319
229328 195967 474 902.31 958 1669 42303 143615
237296 136703 475 838.95 943 1523 28479 89919
231331 172287 474 895.88 958 1532 51903 99199
236167 209663 475 848.89 954 1483 30927 110847
230005 187903 469 900.2 960 1766 44703 97471
234956 165631 453 880.85 949 1988 40639 82495
237692 127999 467 851.56 948 1584 34495 76799
243331 93183 472 797.43 947 1346 8775 65215
247499 70463 476 763 940 1304 3693 35295
240890 165503 482 808.61 967 1384 12407 76799
232382 172415 482 865.95 968 1554 38143 75903
225530 191871 468 979.19 944 3153 50591 115135
242665 206719 467 822.48 949 1280 29471 83327
241113 136447 474 821.13 935 1283 33087 71423
234924 219647 470 863.17 974 1321 38847 79935
244441 106303 466 806.84 951 1281 22127 66495
237472 143999 481 843.25 968 1359 30079 65407
239361 214783 474 837.45 963 1300 28847 75199
243448 187007 469 801.99 951 1273 15359 83519
217774 96127 462 817.19 947 1284 30127 79039
193750 103615 481 1191.47 1065 12919 59583 86527
205569 231295 468 1134.75 1009 1569 123007 202623
244876 121535 465 796.31 937 1273 17103 77439
246626 92095 478 779.03 951 1270 4675 60831
248825 84735 457 774.46 928 1255 6603 57023
243422 96767 479 800.56 957 1283 22527 62431
248212 93951 470 764.03 944 1258 2719 54751
242532 100479 457 792.93 975 1280 5143 59487
246056 135167 479 786.95 936 1269 9111 66367
245034 155263 478 805.46 938 1265 25375 73343
243284 188031 481 812.38 968 1274 18207 108607
244118 204159 488 796.15 951 1270 13135 69759
248695 101823 481 772.66 932 1253 6543 57087
246311 97599 467 789.12 935 1269 14087 63583
248896 117951 472 774.15 931 1256 5827 61663
248447 71039 471 764.45 944 1256 2609 46815
247642 85247 480 770.61 946 1256 4543 48191
236745 230655 477 871.97 932 1288 45023 97727
248770 157311 472 773.51 932 1262 4009 78527
244900 177407 479 799.2 937 1275 19039 75327
246960 111039 476 778.26 949 1269 6391 59231
251011 108671 477 759.28 945 1239 2763 42591
245815 113983 480 785.59 950 1264 6511 65855
244251 96575 471 791.64 969 1272 12031 58975
248952 143103 482 763.7 948 1261 3255 50367
211479 104767 481 815.78 939 1325 30159 70783
231177 91839 478 877.87 1012 1720 40479 75455
166086 837119 477 795.18 978 1293 7511 58687
139844 609791 469 856.43 1018 1448 6963 83391
100241 1546239 491 1131.7 1023 1538 47519 1428479
58379 95487 485 918.58 1021 1427 43039 82047
306 1531 486 675.59 779 1224 1531 1531
38963 26927 475 823.16 1022 1396 5147 20031
################################
## INSERT-FAILED
################################
Count Max Min Avg P90 P99 P99.9 P99.99
2025-03-06 17:25:45:870 0 sec: 0 operations; est completion in 0 second 
2025-03-06 17:25:55:853 10 sec: 519785 operations; 51978.5 current ops/sec; est completion in 14 hours 57 minutes [READ: 215430 54527 562 962.98 1192 3049 6579 52031] [DELETE: 20810 48063 454 710.72 909 1410 4063 10743] [INSERT: 208067 48543 478 786.06 993 1550 5051 12439] [READ-FAILED: 44442 50207 488 841.73 1036 2773 6163 14063] [UPDATE: 31448 47967 442 735.61 938 1475 5299 20031] 
2025-03-06 17:26:05:853 20 sec: 1152494 operations; 63270.9 current ops/sec; est completion in 13 hours 29 minutes [READ: 262200 11759 534 865.35 1044 1500 3297 5603] [DELETE: 25588 7711 429 672.77 832 1173 2231 4479] [INSERT: 252930 8415 467 741.58 929 1256 2983 4979] [READ-FAILED: 54158 6995 462 756.24 958 1316 3017 4711] [UPDATE: 37663 6983 428 689.53 855 1199 3005 4671] 
