################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
382983 59551 415 840.24 1053 2537 6943 53631
474144 12151 403 769.91 973 1376 4311 6423
472167 12807 397 774.87 981 1338 4411 6567
470393 11079 419 780.72 994 1346 4427 5635
472791 8423 409 773.82 973 1416 4783 6175
475234 11703 410 776.56 981 1337 4783 6255
473886 10071 420 778.13 979 1349 4891 5903
483244 9623 415 769.96 965 1317 4951 5927
479255 11943 394 775.88 977 1359 4659 6187
478349 9431 412 776.68 973 1326 5147 6695
479539 8671 398 774.28 972 1353 4787 6587
470572 9095 415 786.41 997 1410 4603 5815
465760 11615 412 794.46 1004 1413 4979 6815
461334 11567 411 800.12 1015 1460 4771 6483
460905 10871 385 800.13 1019 1478 4739 6615
457467 12111 409 805.63 1026 1505 4967 6791
454408 10511 410 809.06 1034 1520 4967 7183
459591 11527 406 803.45 1022 1495 4747 6455
451307 11167 417 812.84 1038 1525 4951 6343
459220 9303 410 801.96 1019 1477 5299 6943
457462 12695 425 806.03 1028 1524 4655 6247
452791 11303 412 811.91 1034 1515 5035 6971
455518 8983 404 808.13 1029 1521 4787 7031
460527 9431 404 799.42 1016 1470 4723 6291
454130 11503 401 809.25 1033 1496 4663 6155
449381 9607 416 818.09 1047 1527 5403 6943
456498 11703 418 806.69 1028 1490 4979 6871
449416 9591 417 816.05 1044 1522 4919 6367
450685 11343 389 813.36 1038 1544 5047 6535
459115 8423 418 801.32 1019 1468 5059 6903
444698 56671 423 825.11 1047 1611 5447 21151
446801 12631 393 819.74 1044 1526 5263 6759
453712 13039 386 806.95 1030 1513 4907 6715
446820 9871 422 820.01 1054 1552 5079 6527
446527 11775 407 819.19 1050 1541 5023 7111
454966 10727 417 805.78 1030 1524 4927 6939
452885 10375 400 809.71 1035 1508 4903 6751
450554 8855 421 814.36 1036 1531 5135 6631
452528 9087 419 811.24 1032 1504 4903 6799
451045 11263 410 810.24 1034 1526 4999 6543
447775 11071 429 816.97 1039 1531 4903 6279
448124 9407 386 819.04 1045 1580 5059 6311
451756 9823 419 811.69 1039 1534 5007 6455
439219 10095 399 830.46 1069 1583 5195 6871
445512 21407 428 821.4 1051 1560 4955 6915
454921 10127 416 806.18 1031 1518 5219 6963
449950 12799 421 815.55 1037 1517 5383 7863
450025 9871 414 816.79 1038 1529 4799 5911
455355 11327 399 805.77 1027 1514 5015 6291
453201 9047 424 812.53 1035 1531 4927 6491
443865 12503 416 825.1 1050 1576 5143 6903
458604 10751 402 801.01 1015 1484 4983 6503
444011 11807 401 824.74 1057 1567 5287 6815
450522 10047 408 814.6 1034 1506 5107 6951
451564 9743 421 809.33 1033 1506 5203 6371
447999 12991 408 818.7 1047 1568 4743 6231
445728 9887 411 821.08 1048 1568 5043 6907
455853 10455 416 806.33 1028 1501 5131 6395
444890 12399 415 819.11 1051 1567 5035 6699
443444 9647 409 825.49 1058 1598 4943 6263
452307 9287 394 809.08 1034 1535 5159 6875
454492 9759 400 807.68 1031 1505 4935 6327
442378 12935 418 825.94 1055 1559 5091 6627
450521 9847 413 810.89 1041 1516 4967 6647
448853 11567 412 815.19 1044 1545 4939 6831
440606 15983 394 829.15 1063 1596 5143 6735
446434 10191 417 818.09 1048 1549 5203 7123
456907 9191 389 804.24 1025 1499 4875 6363
444646 13351 421 822.38 1050 1548 4923 6815
445102 10279 410 822.2 1051 1546 5219 7031
450493 10039 426 809.85 1038 1541 5079 6827
444732 10967 405 820.97 1050 1565 5051 6579
440216 10631 409 830.16 1066 1620 5039 6539
453724 9687 418 806.07 1030 1516 5131 6611
442047 12639 427 828.1 1064 1588 5055 6463
442209 9639 418 826.36 1062 1594 5007 6411
454377 9735 404 807.27 1031 1513 5059 7175
448369 13487 425 817.77 1041 1565 5071 6391
444949 9919 409 821.76 1048 1559 4911 6247
449730 9207 396 812.04 1041 1551 4955 6387
442313 9055 407 823.56 1062 1592 5123 6831
440915 11415 397 826 1062 1609 4959 6239
446750 9895 413 816.77 1043 1541 4959 6767
449059 11063 411 815.25 1039 1536 4919 7059
436404 9007 410 833.31 1075 1626 4975 6579
447779 10023 402 815.04 1050 1594 5171 6491
444982 12351 411 819.56 1049 1570 5083 8075
435788 8527 423 836.67 1076 1605 5031 6003
443275 9503 424 823.39 1058 1578 5227 6971
451865 11239 403 807.8 1031 1534 5103 6887
434466 11559 413 837.82 1074 1626 5319 6239
439794 9727 386 828.97 1067 1590 5343 6847
445987 13495 413 817.89 1047 1582 5171 6395
442683 11903 413 822.68 1054 1582 5119 7075
442096 10959 417 823.81 1054 1572 4987 6671
451731 10647 394 810.62 1036 1523 5087 6939
440231 8871 411 828.94 1063 1578 5151 6771
441763 10415 423 825.66 1058 1605 5031 6787
450178 9383 421 810.44 1037 1552 4975 6839
442816 8959 412 823.84 1057 1672 5067 6463
442510 11887 423 824.74 1059 1573 4719 6351
443332 9375 415 822.41 1056 1571 5395 6747
449106 9855 415 816.72 1042 1548 5019 6131
438306 9951 404 827.38 1063 1601 4955 6391
448230 8543 419 811.85 1039 1542 4799 6447
448736 8887 404 814.86 1041 1546 5155 6655
442641 8951 404 825.07 1054 1572 4975 7147
