################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
621871 108735 422 1297.42 1763 4399 8279 94527
755551 13415 444 1195.05 1592 2637 5419 7899
736703 12735 437 1230.7 1659 2793 5323 8759
746286 13055 429 1218.49 1626 2619 5887 8855
738821 16399 447 1230.56 1655 2827 5851 8287
740134 10215 440 1225.23 1638 3185 6051 8207
740972 11239 444 1228.83 1632 2863 5787 7631
723644 13343 427 1248.76 1678 3023 5859 7975
702468 11455 440 1281.4 1742 3209 5847 7683
690848 13639 430 1291.46 1771 3673 6039 8815
687239 12831 413 1307.03 1777 3237 5971 8095
690029 18559 415 1295.13 1781 3437 6007 8163
682082 12359 456 1316.86 1812 3693 5903 8171
685102 14623 421 1311.22 1812 3391 5999 11447
677589 12047 437 1323.54 1811 3351 5859 7711
682869 14327 425 1312.21 1815 3391 5899 8447
674028 13887 430 1334.78 1840 3719 5967 8511
677245 11727 421 1315.75 1814 3519 5907 8047
672781 15247 428 1335.27 1847 3549 5803 9015
682451 14815 448 1310.67 1810 3387 5787 8199
673366 14431 427 1329.54 1845 3353 5995 8823
685978 13599 412 1306.42 1795 3285 5787 8199
683906 13487 432 1299.4 1793 3215 5635 8051
691306 13559 452 1290.07 1763 3647 5967 8335
681496 16527 436 1317.19 1801 3617 5927 8695
680042 11807 452 1313.44 1802 3279 5939 7655
678647 14431 438 1321.08 1822 3459 5891 7731
674413 11623 432 1322.4 1836 3423 5891 7995
677077 22207 434 1315.56 1820 3765 5723 8023
678937 11567 436 1315.37 1812 3433 5863 7771
673381 81919 443 1333.67 1818 3667 6675 42527
673411 12479 430 1332.85 1838 3373 5819 8535
678640 11991 424 1319.9 1825 3405 5903 7703
670905 10271 448 1336.56 1835 3273 5951 8239
682229 15119 428 1313.44 1819 3541 5915 9199
672265 20671 419 1336.95 1841 3573 6071 8719
672747 13911 432 1332.98 1860 3717 6087 8599
670544 13223 431 1332.92 1836 3401 5991 8631
675413 12583 437 1324.6 1849 3419 5783 7927
670804 13831 446 1337.11 1836 3371 6091 8519
678040 14719 407 1320.57 1830 3551 5859 9111
673576 13599 429 1334.24 1822 3493 5871 9311
680852 16295 408 1314.45 1824 3571 6027 8783
680265 12111 426 1312.53 1790 3323 5815 8455
677378 13799 432 1315.73 1812 3429 5983 8415
670217 12607 437 1340.87 1842 3293 6075 8139
676514 17967 449 1318.05 1822 3573 5995 8735
672678 13647 462 1336.86 1828 3427 5971 8139
672006 13663 455 1325.98 1840 3269 6003 8495
671556 13599 444 1329.7 1822 3315 6107 8959
670820 13375 446 1328.23 1839 3217 5979 8687
670597 13399 439 1340.26 1833 3449 6335 9167
672382 25119 432 1328.2 1814 3339 6111 9895
677520 31615 454 1322.23 1808 3313 6019 9247
664766 17151 448 1349.61 1863 3475 5983 8495
672450 10927 450 1333.88 1829 3405 5843 8415
657140 11671 418 1355.2 1903 3715 5987 8935
672016 15687 420 1331.24 1824 3365 6083 8535
